rtt,packet_loss,icmp_rate,ttl,ttl_variance
172340.78,0,0.03,128,0.0
165.33,0,0.04,128,0.0
16.73,0,0.04,128,0.0
8.27,0,0.05,128,0.0
8.6,0,0.05,128,0.0
0.0,0,0.06,128,0.0
0.0,0,0.06,128,0.0
16.52,0,0.07,128,0.0
0.81,0,0.07,128,0.0
0.0,0,0.08,128,0.0
16.4,0,0.08,128,0.0
0.0,0,0.09,128,0.0
6.37,0,0.1,128,0.0
4.81,0,0.1,128,0.0
7.23,0,0.11,128,0.0
0.0,0,0.11,128,0.0
14.58,0,0.12,128,0.0
0.0,0,0.12,128,0.0
16.69,0,0.13,128,0.0
0.0,0,0.13,128,0.0
9.23,0,0.14,128,0.0
8.44,0,0.14,128,0.0
9.66,0,0.15,128,0.0
9.17,0,0.15,128,0.0
4.95,0,0.16,128,0.0
11.81,0,0.16,128,0.0
0.0,0,0.17,128,0.0
12.76,0,0.17,128,0.0
7.91,0,0.18,128,0.0
0.0,0,0.18,128,0.0
10.17,0,0.19,128,0.0
0.0,0,0.2,128,0.0
0.0,0,0.2,128,0.0
16.79,0,0.21,128,0.0
0.0,0,0.21,128,0.0
0.0,0,0.22,128,0.0
15.83,0,0.22,128,0.0
9.52,0,0.23,128,0.0
2.1,0,0.23,128,0.0
5.58,0,0.24,128,0.0
10.27,0,0.24,128,0.0
6.61,0,0.25,128,0.0
0.0,0,0.25,128,0.0
9.44,0,0.26,128,0.0
6.06,0,0.26,128,0.0
0.0,0,0.26,128,0.0
9.83,0,0.27,128,0.0
6.93,0,0.28,128,0.0
0.0,0,0.29,128,0.0
12.44,0,86.53,128,0.0
5.18,0,119.7,128,0.0
5.59,0,122.98,128,0.0
4.02,0,124.28,128,0.0
6.28,0,125.0,128,0.0
0.0,0,125.0,128,0.0
16.55,0,120.04,128,0.0
9.61,0,122.06,128,0.0
7.16,0,120.2,128,0.0
6.39,0,118.38,128,0.0
2.01,0,122.56,128,0.0
9.0,0,119.92,128,0.0
0.0,0,121.77,128,0.0
11.06,0,119.95,128,0.0
5.71,0,120.38,128,0.0
0.0,0,120.38,128,0.0
0.0,0,124.77,128,0.0
920.63,0,37.84,128,0.0
7945.38,0,5.41,128,0.0
7036.82,0,3.07,128,0.0
354.53,0,3.01,128,0.0
2463.41,0,2.62,128,0.0
4700.02,0,2.1,128,0.0
4766.66,0,1.75,128,0.0
2469.37,0,1.61,128,0.0
15.74,0,1.61,128,0.0
1876.33,0,1.52,128,0.0
903.23,0,1.48,128,0.0
1062.03,0,1.44,128,0.0
116.13,0,1.43,128,0.0
3013.73,0,1.32,128,0.0
1733.86,0,1.26,128,0.0
155.68,0,1.26,128,0.0
926.45,0,1.23,128,0.0
5321.31,0,1.09,128,0.0
3006.91,0,1.02,128,0.0
2473.73,0,0.97,128,0.0
4985.25,0,0.88,128,0.0
434.11,0,0.88,128,0.0
24506.35,0,0.61,128,0.0
973.6,0,0.61,128,0.0
2179.49,0,0.59,128,0.0
129429.23,0,0.23,128,0.0
9217.17,0,0.22,128,0.0
245.52,0,0.22,128,0.0
9604.29,0,0.21,128,0.0
103096.82,0,0.15,128,0.0
1132.86,0,0.15,128,0.0
15186.28,0,0.14,128,0.0
20293.34,0,0.13,128,0.0
24539.3,0,0.13,128,0.0
3766.44,0,0.12,128,0.0
10525.69,0,0.12,128,0.0
53852.54,0,0.11,128,0.0
9079.98,0,0.11,128,0.0
4579.86,0,0.1,128,0.0
12.08,0,0.1,128,0.0
